iter	Passed	Remaining
646	13881	7573
647	13889	7544
648	13896	7515
649	13903	7486
650	13910	7457
651	13917	7428
652	13924	7399
653	13932	7371
654	13939	7342
655	13946	7313
656	13953	7284
657	13960	7256
658	13967	7227
659	13976	7199
660	13984	7171
661	13990	7143
662	13998	7115
663	14004	7086
664	14012	7059
665	14019	7031
666	14030	7004
667	14038	6977
668	14047	6950
669	14058	6924
670	14067	6897
671	14077	6870
672	14085	6843
673	14094	6817
674	14104	6790
675	14114	6764
676	14124	6738
677	14131	6711
678	14139	6684
679	14146	6657
680	14154	6630
681	14161	6603
682	14170	6576
683	14178	6550
684	14185	6523
685	14193	6496
686	14201	6470
687	14210	6444
688	14218	6417
689	14227	6392
690	14234	6365
691	14242	6339
692	14250	6313
693	14258	6286
694	14265	6260
695	14273	6234
696	14281	6208
697	14289	6182
698	14297	6156
699	14305	6130
700	14313	6104
701	14321	6079
702	14328	6053
703	14336	6027
704	14344	6002
705	14352	5976
706	14359	5951
707	14367	5925
708	14375	5900
709	14383	5875
710	14390	5849
711	14398	5824
712	14407	5799
713	14414	5774
714	14422	5748
715	14430	5723
716	14437	5698
717	14444	5673
718	14453	5648
719	14461	5623
720	14468	5598
721	14477	5574
722	14485	5549
723	14492	5524
724	14501	5500
725	14509	5475
726	14518	5451
727	14526	5427
728	14534	5403
729	14541	5378
730	14550	5354
731	14558	5329
732	14565	5305
733	14572	5281
734	14581	5257
735	14588	5232
736	14596	5208
737	14604	5184
738	14613	5161
739	14619	5136
740	14627	5112
741	14635	5088
742	14643	5065
743	14651	5041
744	14659	5017
745	14666	4993
746	14675	4970
747	14683	4946
748	14691	4923
749	14698	4899
750	14708	4876
751	14715	4852
752	14723	4829
753	14731	4806
754	14740	4783
755	14747	4759
756	14756	4736
757	14763	4713
758	14772	4690
759	14780	4667
760	14789	4644
761	14796	4621
762	14804	4598
763	14812	4575
764	14821	4552
765	14829	4530
766	14837	4507
767	14845	4484
768	14854	4462
769	14861	4439
770	14869	4416
771	14877	4393
772	14886	4371
773	14895	4349
774	14905	4327
775	14912	4304
776	14921	4282
777	14929	4260
778	14939	4238
779	14947	4215
780	14956	4193
781	14964	4171
782	14973	4149
783	14981	4127
784	14989	4105
785	14997	4083
786	15005	4061
787	15013	4039
788	15021	4017
789	15029	3995
790	15037	3973
791	15045	3951
792	15052	3929
793	15062	3907
794	15069	3885
795	15076	3863
796	15084	3842
797	15091	3820
798	15099	3798
799	15106	3776
800	15115	3755
801	15122	3733
802	15130	3711
803	15137	3690
804	15146	3669
805	15154	3647
806	15162	3626
807	15168	3604
808	15177	3583
809	15184	3561
810	15192	3540
811	15199	3519
812	15208	3498
813	15215	3476
814	15224	3455
815	15232	3434
816	15243	3414
817	15251	3393
818	15261	3372
819	15269	3351
820	15279	3331
821	15288	3310
822	15296	3289
823	15305	3269
824	15313	3248
825	15323	3228
826	15332	3207
827	15342	3187
828	15351	3166
829	15362	3146
830	15370	3125
831	15379	3105
832	15389	3085
833	15397	3064
834	15406	3044
835	15417	3024
836	15426	3004
837	15436	2984
838	15444	2963
839	15454	2943
840	15464	2923
841	15473	2903
842	15481	2883
843	15490	2863
844	15500	2843
845	15508	2823
846	15518	2803
847	15527	2783
848	15537	2763
849	15545	2743
850	15555	2723
851	15565	2703
852	15574	2683
853	15584	2664
854	15593	2644
855	15602	2624
856	15610	2604
857	15618	2584
858	15625	2564
859	15634	2545
860	15642	2525
861	15651	2505
862	15659	2485
863	15667	2466
864	15675	2446
865	15683	2426
866	15691	2407
867	15699	2387
868	15707	2367
869	15716	2348
870	15724	2328
871	15732	2309
872	15739	2289
873	15747	2270
874	15755	2250
875	15764	2231
876	15771	2212
877	15780	2192
878	15788	2173
879	15796	2154
880	15803	2134
881	15811	2115
882	15819	2096
883	15827	2076
884	15834	2057
885	15842	2038
886	15849	2019
887	15858	2000
888	15865	1980
889	15872	1961
890	15879	1942
891	15886	1923
892	15893	1904
893	15900	1885
894	15907	1866
895	15915	1847
896	15923	1828
897	15931	1809
898	15942	1791
899	15949	1772
900	15957	1753
901	15965	1734
902	15972	1715
903	15980	1696
904	15987	1678
905	15993	1659
906	16000	1640
907	16007	1621
908	16013	1603
909	16021	1584
910	16027	1565
911	16033	1547
912	16040	1528
913	16046	1509
914	16053	1491
915	16059	1472
916	16066	1454
917	16074	1435
918	16080	1417
919	16087	1398
920	16094	1380
921	16101	1362
922	16107	1343
923	16113	1325
924	16119	1307
925	16125	1288
926	16131	1270
927	16137	1252
928	16143	1233
929	16149	1215
930	16156	1197
931	16163	1179
932	16170	1161
933	16176	1143
934	16185	1125
935	16193	1107
936	16201	1089
937	16212	1071
938	16219	1053
939	16227	1035
940	16236	1017
941	16243	1000
942	16251	982
943	16257	964
944	16267	946
945	16273	928
946	16280	911
947	16286	893
948	16292	875
949	16298	857
950	16303	840
951	16308	822
952	16314	804
953	16320	786
954	16325	769
955	16331	751
956	16337	734
957	16344	716
958	16349	699
959	16355	681
960	16361	664
961	16367	646
962	16372	629
963	16379	611
964	16385	594
965	16391	576
966	16397	559
967	16402	542
968	16408	524
969	16413	507
970	16419	490
971	16425	473
972	16431	455
973	16436	438
974	16442	421
975	16448	404
976	16453	387
977	16459	370
978	16464	353
979	16470	336
980	16476	319
981	16482	302
982	16487	285
983	16494	268
984	16500	251
